"domainAnalyse-name";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"oneval";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"oneval";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femle"
"enum";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"fmale"
"enum";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"oneval";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"oneval";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"long";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"oneval";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"enum";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"enum";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"enum";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"enum";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"enum";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"oneval";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fmale"
"oneval";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"m"
"oneval";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"oneval";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"oneval";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"m"
